Art,33.65053791,-117.8448326,(949) 824-6648,3229 Art Culture and Technology Building,http://studioart.arts.uci.edu/
Dance,33.65017024,-117.8463582,(949) 824-7283,301 Mesa Arts Building,http://dance.arts.uci.edu/
Drama,33.64978933,-117.8449479,(949) 824-6614,249 Drama Building,http://drama.arts.uci.edu/
Music,33.64935062,-117.8444649,(949) 824-6615,303 Music and Media Building,http://music.arts.uci.edu/
Developmental and Cell Biology,33.64534684,-117.8460757,(949) 824-2458,2212 Biological Sciences III,http://devcell.bio.uci.edu/
Ecology and Evolutionary Biology,33.64623148,-117.8448309,(949) 824-6006,321 Steinhaus Hall,http://ecoevo.bio.uci.edu/
Molecular Biology and Biochemistry,33.64524535,-117.844781,(949) 824-4915,3205 McGaugh Hall,http://mbb.bio.uci.edu/
Neurobiology and Behavior,33.64524535,-117.844781,(949) 824-8519,2205 McGaugh Hall,http://neurobiology.uci.edu/
Biomedical Engineering,33.64399964,-117.845269,(949) 824-9196,3120 Natural Sciences II,http://www.eng.uci.edu/dept/bme
Chemical Engineering and Materials Science,33.64470335,-117.8411048,(949) 824-3887,916F Engineering Tower,http://www.eng.uci.edu/dept/chems
Civil and Environmental Engineering,33.6431992,-117.8401441,(949) 824-5333,E4130 Engineering Gateway,http://www.eng.uci.edu/dept/cee
Electrical Engineering and Computer Science,33.64365726,-117.8411599,(949) 824-4821,2213 Engineering Hall,http://www.eng.uci.edu/dept/eecs
Mechanical and Aerospace Engineering,33.6431992,-117.8401441,(949) 824-8451,S4221 Engineering Gateway,http://mae.eng.uci.edu/
Art History,33.64816352,-117.8445568,(949) 824-6635,2000 Humanities Gateway,http://www.humanities.uci.edu/arthistory/
Asian American Studies,33.64816352,-117.8445568,(949) 824-4523,3000 Humanities Gateway,http://www.humanities.uci.edu/aas/
Classics,33.64761414,-117.8434887,(949) 824-6735,400 Murray Krieger Hall,http://www.humanities.uci.edu/classics/
Comparative Literature,33.64873812,-117.8442218,(949) 824-6406,243 Humanities Instructional Building,http://www.humanities.uci.edu/complit/
East Asian Languages and Literatures,33.64873812,-117.8442218,(949) 824-2227,443 Humanities Instructional Building,http://www.humanities.uci.edu/eastasian/
English,33.64873812,-117.8442218,(949) 824-6712,435 Humanities Instructional Building,http://www.humanities.uci.edu/english/
European Languages and Studies,33.64873812,-117.8442218,(949) 824-6406,243 Humanities Instructional Building,http://www.humanities.uci.edu/els/
Film and Media Studies,33.64816352,-117.8445568,(949) 824-3532,2000 Humanities Gateway,http://www.humanities.uci.edu/filmstudies/
History,33.64761414,-117.8434887,(949) 824-6521,200 Murray Krieger Hall,http://www.humanities.uci.edu/history/
Philosophy,33.64873812,-117.8442218,(949) 824-6525,85 Humanities Instructional Building,http://www.humanities.uci.edu/philosophy/
Spanish and Portugese,33.64731527,-117.8439865,(949) 824-6901,322 Humanities Hall,http://www.humanities.uci.edu/spanishandportuguese/
Women's Studies,33.64873812,-117.8442218,(949) 824-6406,243 Humanities Instructional Building,http://www.humanities.uci.edu/womensstudies/
Computer Science,33.64324002,-117.8419057,(949) 824-1546,3019 Donald Bren Hall,http://www.cs.uci.edu/
Informatics,33.64324002,-117.8419057,(949) 824-2901,5019 Donald Bren Hall,http://www.informatics.uci.edu/
Statistics,33.64324002,-117.8419057,(949) 824-5392,2019 Donald Bren Hall,http://www.stat.uci.edu/
Pharmaceutical Sciences,none,none,(949) 824-1239,147 Bison Modular,http://www.pharmsci.uci.edu/
Chemistry,33.64399964,-117.845269,(949) 824-6018,1120 Natural Sciences II,http://www.chem.uci.edu/
Earth System Science,33.64368719,-117.8446483,(949) 824-8794,3200 Croul Hall,http://www.ess.uci.edu/
Mathematics,33.64450317,-117.8441291,(949) 824-5503,340 Rowland Hall,http://www.math.uci.edu/
Physics and Astronomy,33.64415409,-117.843278,(949) 824-6911,4129 Frederick Reines Hall,http://www.physics.uci.edu/
Criminology Law and Society,33.64657671,-117.8389458,(949) 824-5575,2340 Social Ecology II,http://cls.soceco.uci.edu/
Planning Policy and Design,33.64615522,-117.8387752,(949) 824-0563,300 Social Ecology I,http://ppd.soceco.uci.edu/
Psychology and Social Behavior,33.64739003,-117.8391021,949) 824-5574,4201 Social & Behavioral Sciences Gateway,http://psb.soceco.uci.edu/
Anthropology,33.64739003,-117.8391021,none,3203 Social & Behavioral Sciences Gateway,http://www.anthropology.uci.edu/
Chicano/Latino Studies,33.64645799,-117.8402567,(949) 824-7180,383 Social Science Tower,http://www.chicanolatinostudies.uci.edu/
Cognitive Sciences,33.64739003,-117.8391021,(949) 824-3771,2201 Social & Behavioral Sciences Gateway,http://www.cogsci.uci.edu/
Economics,33.64695627,-117.8390489,(949) 824-5788,3223 Social Science Plaza B,http://www.economics.uci.edu/
Linguistics,33.64739003,-117.8391021,(949) 824-7161,1231 Social & Behavioral Sciences Gateway,http://www.linguistics.uci.edu/
Logic and Philosphy of Science,33.64645799,-117.8402567,(949) 824-1520,779 Social Science Tower,http://www.lps.uci.edu/
Political Science,33.64695627,-117.8390489,(949) 824-5361,5229 Social Science Plaza B,http://www.polisci.uci.edu/
Sociology,33.64695627,-117.8390489,(949) 824-7637,4215 Social Science Plaza B,http://www.sociology.uci.edu/
